Initializing benchmark subset...
Discovered 2000 files for benchmarking.

--- RUNTIME ANALYSIS ---
Total files scanned: 2000
Total time elapsed:  12.6704 seconds
Throughput:          157.92 files/second
Findings discovered: 7395
------------------------
         7288097 function calls (7279784 primitive calls) in 14.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_distributions)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
       10    0.000    0.000    0.000    0.000 inspect.py:3038(replace)
       37    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 converter.py:684(XMLConverter)
        8    0.000    0.000    0.000    0.000 contextlib.py:257(contextmanager)
      820    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        1    0.000    0.000    0.000    0.000 _schema_generation_shared.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp869.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:2794(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cmapdb.py:220(CMapDB)
       16    0.000    0.000    0.000    0.000 typing_extensions.py:603(_get_protocol_attrs)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 cp037.py:1(<module>)
      421    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        6    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
       13    0.000    0.000    0.000    0.000 introspection.py:387(inspect_annotation)
        2    0.000    0.000    0.000    0.000 __init__.py:897(find_distributions)
        1    0.000    0.000    0.000    0.000 converter.py:842(HOCRConverter)
       68    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 cp855.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _model_construction.py:400(inspect_namespace)
     51/3    0.000    0.000    0.000    0.000 _schema_gather.py:96(traverse_schema)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
      602    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.new_PdfObj}
       37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       30    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
      329    0.000    0.000    0.000    0.000 _parser.py:79(groups)
      5/3    0.000    0.000    0.000    0.000 _schema_gather.py:75(traverse_definition_ref)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.000    0.000 mupdf.py:889(vector_search_page2_hit)
     1376    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
      143    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        8    0.000    0.000    0.000    0.000 enum.py:1493(__or__)
        2    0.000    0.000    0.000    0.000 __init__.py:910(_search_paths)
       41    0.000    0.000    0.000    0.000 dataclasses.py:1223(fields)
    21/17    0.000    0.000    0.000    0.000 typing.py:1472(__repr__)
       90    0.000    0.000    0.000    0.000 __init__.py:404(_from_text)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      210    0.000    0.000    0.000    0.000 enum.py:224(__set_name__)
      238    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 synchronize.py:144(__init__)
       13    0.000    0.000    0.000    0.000 _typing_extra.py:279(_type_convert)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
      239    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       13    0.000    0.000    0.000    0.000 __init__.py:815(mtime)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connector.py:85(__init__)
        3    0.000    0.000    0.000    0.000 _decorators.py:431(build)
      240    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      241    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        5    0.000    0.000    0.000    0.000 typing.py:1389(_determine_new_args)
       29    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
       13    0.000    0.000    0.000    0.000 enum.py:1007(_find_new_)
        1    0.000    0.000    0.000    0.000 _sysconfigdata__darwin_darwin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2825(Document)
        1    0.000    0.000    0.000    0.000 table.py:377(Table)
        1    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
      110    0.000    0.000    0.000    0.000 __init__.py:193(__init__)
       22    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 structure.py:101(PDFStructElement)
       26    0.000    0.000    0.000    0.000 fields.py:670(_collect_metadata)
        1    0.000    0.000    0.000    0.000 util.py:433(_flush_std_streams)
      110    0.000    0.000    0.000    0.000 __init__.py:440(_make)
        1    0.000    0.000    0.000    0.000 _validators.py:1(<module>)
      361    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:870(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 introspection.py:223(AnnotationSource)
      101    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
        1    0.000    0.000    0.000    0.000 cp1125.py:1(<module>)
    65/49    0.000    0.000    0.000    0.000 typing.py:224(_type_repr)
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _schema_validator.py:1(<module>)
      283    0.000    0.000    0.000    0.000 dataclasses.py:437(_field_assign)
        5    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
        1    0.000    0.000    0.000    0.000 gbk.py:1(<module>)
      560    0.000    0.000    0.000    0.000 typing.py:1660(<genexpr>)
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
       80    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       45    0.000    0.000    0.000    0.000 core_schema.py:4349(_dict_not_none)
        7    0.000    0.000    0.000    0.000 typing.py:1351(__or__)
      510    0.000    0.000    0.000    0.000 dataclasses.py:660(_is_kw_only)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
      112    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        1    0.000    0.000    0.000    0.000 mupdf.py:39385(PdfDocument)
       70    0.000    0.000    0.000    0.000 dataclasses.py:548(<dictcomp>)
        1    0.000    0.000    0.000    0.000 iso2022_jp_2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
      138    0.000    0.000    0.000    0.000 enum.py:917(<lambda>)
        1    0.000    0.000    0.000    0.000 iso8859_13.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1883(IPv6Address)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:78(_check_methods)
        1    0.000    0.000    0.000    0.000 structure.py:69(Findable)
      611    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 table.py:587(WordExtractor)
       23    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
        1    0.000    0.000    0.000    0.000 _generate_schema.py:1167(_match_generic_type)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       26    0.000    0.000    0.000    0.000 enum.py:979(_find_data_type_)
        1    0.000    0.000    0.000    0.000 ascii.py:1(<module>)
      160    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        2    0.000    0.000    0.000    0.000 signal.py:24(_int_to_enum)
        1    0.000    0.000    0.000    0.000 pathlib.py:981(resolve)
    23/22    0.000    0.000    0.000    0.000 _generate_schema.py:2684(_extract_get_pydantic_json_schema)
        1    0.000    0.000    0.000    0.000 cp437.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 johab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:1(<module>)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        6    0.000    0.000    0.000    0.000 _config.py:163(core_config)
        1    0.000    0.000    0.000    0.000 _known_annotated_metadata.py:1(<module>)
      110    0.000    0.000    0.000    0.000 __init__.py:221(_for)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
      178    0.000    0.000    0.000    0.000 inspect.py:3017(<genexpr>)
        3    0.000    0.000    0.000    0.000 connection.py:515(Pipe)
        1    0.000    0.000    0.000    0.000 pdfdevice.py:32(PDFDevice)
        1    0.000    0.000    0.000    0.000 cp858.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp850.py:1(<module>)
       76    0.000    0.000    0.000    0.000 psparser.py:87(intern)
        1    0.000    0.000    0.000    0.000 cp864.py:1(<module>)
        1    0.000    0.000    0.000    0.000 layout.py:347(LTChar)
        1    0.000    0.000    0.000    0.000 cp737.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        6    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
      176    0.000    0.000    0.000    0.000 __init__.py:118(valid)
      112    0.000    0.000    0.000    0.000 _model_construction.py:57(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:263(Len)
        1    0.000    0.000    0.000    0.000 cp857.py:1(<module>)
        1    0.000    0.000    0.000    0.000 convert.py:62(Serializer)
        1    0.000    0.000    0.000    0.000 cp862.py:1(<module>)
       70    0.000    0.000    0.000    0.000 dataclasses.py:592(<listcomp>)
        6    0.000    0.000    0.000    0.000 functools.py:981(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:13259(Pixmap)
        1    0.000    0.000    0.000    0.000 cp860.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp861.py:1(<module>)
     1027    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mupdf.py:41658(PdfObj)
        1    0.000    0.000    0.000    0.000 cp866.py:1(<module>)
      347    0.000    0.000    0.000    0.000 dataclasses.py:375(<genexpr>)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 cp852.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp775.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pdffont.py:1075(PDFCIDFont)
       70    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
       39    0.000    0.000    0.000    0.000 enum.py:933(_check_for_existing_members_)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 pdftypes.py:68(PDFObjRef)
        1    0.000    0.000    0.000    0.000 cp863.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:109(_getuserbase)
        1    0.000    0.000    0.000    0.000 psparser.py:536(PSStackParser)
      124    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        6    0.000    0.000    0.000    0.000 abc.py:32(_register)
       13    0.000    0.000    0.000    0.000 _generate_schema.py:287(_extract_json_schema_info_from_field_info)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x104be6160}
        3    0.000    0.000    0.000    0.000 enum.py:1377(_missing_)
      182    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        8    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        5    0.000    0.000    0.000    0.000 random.py:490(<listcomp>)
        1    0.000    0.000    0.000    0.000 _decorators.py:415(DecoratorInfos)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
       17    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
       26    0.000    0.000    0.000    0.000 inspect.py:735(unwrap)
        8    0.000    0.000    0.000    0.000 typing.py:2113(__getattr__)
       30    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
       57    0.000    0.000    0.000    0.000 typing.py:1921(_caller)
       24    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
      102    0.000    0.000    0.000    0.000 enum.py:748(__delattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:152(GroupedMetadata)
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
       47    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_build}
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       35    0.000    0.000    0.000    0.000 enum.py:773(__getattr__)
        1    0.000    0.000    0.000    0.000 mupdf.py:4904(pdf_document)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
    21/17    0.000    0.000    0.000    0.000 typing.py:1478(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:9502(Page)
       39    0.000    0.000    0.000    0.000 typing.py:2527(overload)
        1    0.000    0.000    0.000    0.000 models.py:20(PIIType)
        1    0.000    0.000    0.000    0.000 pdfinterp.py:367(PDFPageInterpreter)
      514    0.000    0.000    0.000    0.000 {method '__exit__' of 'posix.ScandirIterator' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 _generate_schema.py:398(_list_schema)
      361    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 types.py:1577(Secret)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:2883(deprecated)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2125(Xml)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
       78    0.000    0.000    0.000    0.000 inspect.py:1451(repl)
        1    0.000    0.000    0.000    0.000 page.py:110(PDFPageAggregatorWithMarkedContent)
        1    0.000    0.000    0.000    0.000 iso2022_jp_2004.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_10.py:1(<module>)
       80    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        1    0.000    0.000    0.000    0.000 mupdf.py:30161(FzOutput)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_sanity_check)
       30    0.000    0.000    0.000    0.000 contextlib.py:284(helper)
        1    0.000    0.000    0.000    0.000 gb2312.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _typing_extra.py:102(is_classvar_annotation)
       17    0.000    0.000    0.000    0.000 _compiler.py:389(_bytes_to_codes)
       70    0.000    0.000    0.000    0.000 dataclasses.py:1017(<listcomp>)
       26    0.000    0.000    0.000    0.000 fields.py:237(<dictcomp>)
        8    0.000    0.000    0.000    0.000 sysconfig.py:244(_subst_vars)
       39    0.000    0.000    0.000    0.000 typing.py:1494(__mro_entries__)
        1    0.000    0.000    0.000    0.000 latin_1.py:1(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:848(search)
        3    0.000    0.000    0.000    0.000 typing.py:330(_tp_cache)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _generate_schema.py:901(_generate_schema_from_get_schema_method)
       33    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       18    0.000    0.000    0.000    0.000 typing.py:2016(_proto_hook)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 hp_roman8.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        4    0.000    0.000    0.000    0.000 typing_extensions.py:527(__init__)
        4    0.000    0.000    0.000    0.000 ssl.py:461(__new__)
      257    0.000    0.000    0.000    0.000 utils.py:421(<genexpr>)
       13    0.000    0.000    0.000    0.000 _core_metadata.py:47(update_core_metadata)
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
       24    0.000    0.000    0.000    0.000 inspect.py:310(ismethoddescriptor)
      405    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:2722(__init__)
      361    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 constant.py:2048(<dictcomp>)
        1    0.000    0.000    0.000    0.000 hz.py:1(<module>)
      347    0.000    0.000    0.000    0.000 dataclasses.py:1101(<genexpr>)
        1    0.000    0.000    0.000    0.000 iso8859_3.py:1(<module>)
       14    0.000    0.000    0.000    0.000 inspect.py:167(get_annotations)
        1    0.000    0.000    0.000    0.000 lzw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shift_jis.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:334(decorator)
       73    0.000    0.000    0.000    0.000 typing.py:1606(<genexpr>)
       46    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:24862(TOOLS)
      370    0.000    0.000    0.000    0.000 typing.py:712(<genexpr>)
      112    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
       14    0.000    0.000    0.000    0.000 _namespace_utils.py:96(__getitem__)
      100    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 iso2022_jp_3.py:1(<module>)
      162    0.000    0.000    0.000    0.000 typing_extensions.py:1101(<genexpr>)
       10    0.000    0.000    0.000    0.000 coroutines.py:21(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 constants.py:31(_SendfileMode)
        8    0.000    0.000    0.000    0.000 _generate_schema.py:2770(get_schema_or_ref)
        1    0.000    0.000    0.000    0.000 iso2022_kr.py:1(<module>)
      648    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       59    0.000    0.000    0.000    0.000 typing.py:998(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
       70    0.000    0.000    0.000    0.000 dataclasses.py:1043(<listcomp>)
        1    0.000    0.000    0.000    0.000 process.py:234(ident)
        1    0.000    0.000    0.000    0.000 _generate_schema.py:410(_enum_schema)
        5    0.000    0.000    0.000    0.000 _core_utils.py:65(get_type_ref)
        1    0.000    0.000    0.000    0.000 cp950.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:118(joinuser)
        1    0.000    0.000    0.000    0.000 layout.py:206(LTCurve)
        1    0.000    0.000    0.000    0.000 iso2022_jp_1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 euc_jis_2004.py:1(<module>)
        1    0.000    0.000    0.000    0.000 psexceptions.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
       45    0.000    0.000    0.000    0.000 core_schema.py:4350(<dictcomp>)
        1    0.000    0.000    0.000    0.000 spawn.py:154(get_preparation_data)
        3    0.000    0.000    0.000    0.000 typing.py:1626(copy_with)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 shift_jisx0213.py:1(<module>)
        1    0.000    0.000    0.000    0.000 page.py:677(CroppedPage)
      115    0.000    0.000    0.000    0.000 contextlib.py:431(__exit__)
        4    0.000    0.000    0.000    0.000 typing.py:1518(__init__)
       70    0.000    0.000    0.000    0.000 dataclasses.py:325(__init__)
        1    0.000    0.000    0.000    0.000 iso2022_jp_ext.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:882(__init__)
        1    0.000    0.000    0.000    0.000 shift_jis_2004.py:1(<module>)
        3    0.000    0.000    0.000    0.000 mupdf.py:24098(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 mac_turkish.py:1(<module>)
      361    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 cp1006.py:1(<module>)
        6    0.000    0.000    0.000    0.000 message.py:489(get)
       62    0.000    0.000    0.000    0.000 typing.py:891(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 _discriminated_union.py:1(<module>)
       29    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.000    0.000 sslproto.py:19(SSLProtocolState)
      602    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.obj_enum_to_obj}
        1    0.000    0.000    0.000    0.000 mac_roman.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mupdf.py:38097(PdfAnnot)
       90    0.000    0.000    0.000    0.000 __init__.py:99(section_pairs)
        1    0.000    0.000    0.000    0.000 euc_jisx0213.py:1(<module>)
       83    0.000    0.000    0.000    0.000 typing.py:1784(<genexpr>)
       78    0.000    0.000    0.000    0.000 _config.py:154(__getattr__)
        1    0.000    0.000    0.000    0.000 timeouts.py:18(_State)
        1    0.000    0.000    0.000    0.000 uuid.py:721(uuid4)
        1    0.000    0.000    0.000    0.000 mupdf.py:34272(FzSha512)
        1    0.000    0.000    0.000    0.000 euc_jp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:3901(Format)
        1    0.000    0.000    0.000    0.000 mupdf.py:44373(PdfXref)
        1    0.000    0.000    0.000    0.000 pdfdocument.py:670(PDFDocument)
        1    0.000    0.000    0.000    0.000 euc_kr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 types.py:1910(PaymentCardBrand)
        1    0.000    0.000    0.000    0.000 cp1026.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tis_620.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mac_cyrillic.py:1(<module>)
       13    0.000    0.000    0.000    0.000 inspect.py:2071(_signature_is_builtin)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 iso8859_11.py:1(<module>)
       98    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
       80    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       91    0.000    0.000    0.000    0.000 _fields.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 iso8859_16.py:1(<module>)
        1    0.000    0.000    0.000    0.000 kz1048.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1468(copy_with)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
        1    0.000    0.000    0.000    0.000 cp424.py:1(<module>)
      107    0.000    0.000    0.000    0.000 constant.py:417(<lambda>)
        1    0.000    0.000    0.000    0.000 iso8859_6.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1250.py:1(<module>)
        1    0.000    0.000    0.000    0.000 jbig2.py:194(JBIG2StreamWriter)
        1    0.000    0.000    0.000    0.000 __init__.py:243(MinLen)
        1    0.000    0.000    0.000    0.000 inspect.py:2251(p)
        1    0.000    0.000    0.000    0.000 mupdf.py:2254(fz_default_colorspaces)
       10    0.000    0.000    0.000    0.000 inspect.py:409(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 cp1251.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mupdf.py:5319(pdf_processor)
        1    0.000    0.000    0.000    0.000 mupdf.py:27768(FzHyphenator)
        1    0.000    0.000    0.000    0.000 cp874.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_7.py:1(<module>)
        1    0.000    0.000    0.000    0.000 koi8_r.py:1(<module>)
        1    0.000    0.000    0.000    0.000 json_schema.py:225(GenerateJsonSchema)
       31    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 cp875.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_15.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1258.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mac_iceland.py:1(<module>)
        4    0.000    0.000    0.000    0.000 message.py:591(get_content_type)
        1    0.000    0.000    0.000    0.000 cp856.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 iso8859_8.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:282(Timezone)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        1    0.000    0.000    0.000    0.000 cp720.py:1(<module>)
        1    0.000    0.000    0.000    0.000 koi8_u.py:1(<module>)
      157    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        1    0.000    0.000    0.000    0.000 iso8859_14.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_4.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_5.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1254.py:1(<module>)
       70    0.000    0.000    0.000    0.000 dataclasses.py:1046(<listcomp>)
        1    0.000    0.000    0.000    0.000 cp1256.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1253.py:1(<module>)
      705    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 cp1255.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _config.py:99(for_model)
        1    0.000    0.000    0.000    0.000 koi8_t.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mac_latin2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:35(__init__)
        1    0.000    0.000    0.000    0.000 mac_greek.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locks.py:439(_BarrierState)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 iso8859_9.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp500.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ptcp154.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1257.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1140.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1252.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp273.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        3    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.new_FzColorspace}
       70    0.000    0.000    0.000    0.000 dataclasses.py:1052(<listcomp>)
       10    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
      248    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 ast.py:33(parse)
       67    0.000    0.000    0.000    0.000 typing.py:266(_check_generic)
      235    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        3    0.000    0.000    0.000    0.000 enum.py:1440(<listcomp>)
        4    0.000    0.000    0.000    0.000 connection.py:966(reduce_connection)
        1    0.000    0.000    0.000    0.000 pdfcolor.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _fields.py:78(_check_protected_namespaces)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(_repair_headers)
        5    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:531(__setattr__)
       74    0.000    0.000    0.000    0.000 dataclasses.py:376(<genexpr>)
        1    0.000    0.000    0.000    0.000 pdfpage.py:25(PDFPage)
       13    0.000    0.000    0.000    0.000 core_schema.py:3081(model_field)
