Initializing benchmark subset...
Discovered 2000 files for benchmarking.

--- RUNTIME ANALYSIS ---
Total files scanned: 2000
Total time elapsed:  12.6704 seconds
Throughput:          157.92 files/second
Findings discovered: 7395
------------------------
         7288097 function calls (7279784 primitive calls) in 14.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      425    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
   108518    0.013    0.000    0.018    0.000 {method 'add' of 'set' objects}
     2000    0.002    0.000    0.017    0.000 __init__.py:3978(_loadOutline)
        4    0.000    0.000    0.017    0.004 _model_construction.py:84(__new__)
     2002    0.004    0.000    0.017    0.000 connection.py:181(send_bytes)
        3    0.000    0.000    0.016    0.005 _model_construction.py:600(complete_model_class)
        1    0.000    0.000    0.015    0.015 layout.py:1(<module>)
     2000    0.001    0.000    0.015    0.000 __init__.py:3053(__len__)
       35    0.000    0.000    0.015    0.000 typing_extensions.py:2942(__call__)
       70    0.000    0.000    0.015    0.000 dataclasses.py:1209(wrap)
      420    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       70    0.001    0.000    0.015    0.000 dataclasses.py:884(_process_class)
      332    0.000    0.000    0.015    0.000 __init__.py:272(_compile)
      420    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     2000    0.000    0.000    0.015    0.000 mupdf.py:48382(fz_load_outline)
     2000    0.003    0.000    0.015    0.000 __init__.py:4090(_reset_page_refs)
    14000    0.005    0.000    0.014    0.000 mupdf.py:58626(__init__)
     2000    0.001    0.000    0.014    0.000 __init__.py:5962(page_count)
        1    0.000    0.000    0.014    0.014 connector.py:1(<module>)
     2000    0.014    0.000    0.014    0.000 {built-in method pymupdf._mupdf.fz_load_outline}
       76    0.000    0.000    0.014    0.000 __init__.py:225(compile)
     2000    0.003    0.000    0.014    0.000 __init__.py:21326(JM_rect_from_py)
       80    0.000    0.000    0.014    0.000 _compiler.py:738(compile)
   105249    0.014    0.000    0.014    0.000 {method 'fullmatch' of 're.Pattern' objects}
     2000    0.001    0.000    0.014    0.000 extra.py:134(page_count_fz)
        1    0.001    0.001    0.013    0.013 mupdf.py:1(<module>)
     2000    0.013    0.000    0.013    0.000 {built-in method pymupdf._extra.page_count_fz}
      754    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     2002    0.002    0.000    0.012    0.000 connection.py:389(_send_bytes)
        3    0.000    0.000    0.012    0.004 _schema_validator.py:22(create_schema_validator)
        1    0.000    0.000    0.012    0.012 _model_construction.py:1(<module>)
        3    0.000    0.000    0.011    0.004 _loader.py:22(get_plugins)
        1    0.000    0.000    0.011    0.011 base_events.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _generate_schema.py:1(<module>)
       90    0.000    0.000    0.011    0.000 __init__.py:634(entry_points)
     2000    0.002    0.000    0.011    0.000 mupdf.py:33794(__init__)
   111228    0.010    0.000    0.010    0.000 {method 'join' of 'str' objects}
     2000    0.002    0.000    0.010    0.000 _base.py:155(_create_and_install_waiters)
        1    0.000    0.000    0.010    0.010 pdfinterp.py:1(<module>)
       91    0.000    0.000    0.010    0.000 __init__.py:930(read_text)
        1    0.000    0.000    0.010    0.010 pdfdevice.py:1(<module>)
     4000    0.002    0.000    0.010    0.000 <frozen genericpath>:48(getsize)
     2000    0.001    0.000    0.010    0.000 __init__.py:4094(<listcomp>)
        1    0.000    0.000    0.010    0.010 pdfpage.py:1(<module>)
       91    0.000    0.000    0.010    0.000 pathlib.py:1053(read_text)
        1    0.000    0.000    0.009    0.009 pdfdocument.py:1(<module>)
     2000    0.003    0.000    0.009    0.000 weakref.py:243(values)
